cell name,mos_num,score,width,bbox,pin_access,symmetric,drc,runtime
AO212V4,14,94.57882576,38.51851852,20,8.75,10,10,7.310307243
OAI21BV4,14,94.7665273,38.51851852,20,8.937704268,10,10,7.310304511
OA212V4,14,95.07880501,38.51851852,20,9.25,10,10,7.310286487
AOI21BV4,14,95.31059768,38.51851852,20,9.481777377,10,10,7.310301783
INR3D2,14,95.68343809,40,20,8.373136861,10,10,7.310301232
MAJ23V4,14,96.53193355,40,20,9.221625189,10,10,7.31030836
OA32V4,14,97.02457058,40,20,9.714285714,10,10,7.310284871
MUX2D2,15,89.744472,35.55555556,20,7.878679656,9,10,7.310236785
LVLSRLHD2,16,84.49082433,37.24137931,16.16666667,9.772727273,4,10,7.310051078
NAND4V4,16,85.99924867,33.33333333,16.66666667,8.68898894,10,10,7.310259727
NOR4V4,16,86.07421506,31.66666667,18,9.097329066,10,10,7.31021933
XNOR2V4,16,87.99279504,38.57142857,15.16666667,6.944444444,10,10,7.310255353
XNR2D2,16,88.44907706,35.55555556,17.83333333,9.75,8,10,7.310188174
XOR2V4,16,88.55006204,38.57142857,15.16666667,7.501715266,10,10,7.310251539
ND3OPTPAD2,16,88.74591453,37.14285714,19,9.292893219,6,10,7.310164169
CKMUX2D2,16,89.16993448,34.07407407,20,9.785725218,8,10,7.310135193
CLKXOR2V4,16,90.66438051,40,16.16666667,7.1875,10,10,7.310213847
GXOR2D2,16,91.03643054,37.14285714,18.33333333,8.25,10,10,7.310240064
NAND3BBV4,16,92.37114196,37.03703704,19.33333333,8.690542998,10,10,7.310228591
GXNR2D2,16,93.20307538,37.14285714,19,9.75,10,10,7.31021824
NOR3BBV4,16,93.21114939,38.51851852,18.66666667,8.715747083,10,10,7.310217122
OA222V4,16,93.52138037,37.14285714,20,9.068305009,10,10,7.310218217
GMUX2D2,16,93.82948764,37.14285714,20,9.376390436,10,10,7.310240065
GMUX2ND2,16,93.90537683,37.14285714,20,9.452277442,10,10,7.310242248
GOAI21MCOD2,16,94.32613654,38.57142857,20,8.444444444,10,10,7.310263527
IOA22D2,16,94.84228932,38.57142857,20,8.960650726,10,10,7.310210022
IAO22D2,16,94.84229259,38.57142857,20,8.960650726,10,10,7.310213294
OAI22V4,16,94.95093919,40,20,7.640676739,10,10,7.310262456
AO33V4,16,95.26746195,38.57142857,20,9.385810224,10,10,7.310223154
AO222V4,16,95.26746411,38.57142857,20,9.385810224,10,10,7.310225318
OAI22D2,16,95.41450047,40,20,8.104281139,10,10,7.310219333
AOI22BBV4,16,95.57732735,40,20,8.267103671,10,10,7.310223675
MOAI22D2,16,95.57733172,40,20,8.267103671,10,10,7.310228048
NOR4XXBBV4,16,95.57733393,40,20,8.267103671,10,10,7.310230263
OAI13V4,16,95.68045202,40,20,8.370199399,10,10,7.310252623
OAI112V4,16,95.97562986,40,20,8.665365218,10,10,7.310264642
AOI211D2,16,95.99919842,40,20,8.68898894,10,10,7.310209477
NAND4XXBBV4,16,95.99920333,40,20,8.68898894,10,10,7.310214394
OAI31D2,16,95.99920445,40,20,8.68898894,10,10,7.310215509
OAI22BBV4,16,95.9992077,40,20,8.68898894,10,10,7.310218762
AOI112V4,16,95.99920989,40,20,8.68898894,10,10,7.310220947
AOI22V4,16,95.99921098,40,20,8.68898894,10,10,7.310222038
OAI211D2,16,95.99921207,40,20,8.68898894,10,10,7.310223129
ND4D2,16,95.9992148,40,20,8.68898894,10,10,7.310225862
AOI31D2,16,95.99921535,40,20,8.68898894,10,10,7.31022641
MAOI22D2,16,95.99921917,40,20,8.68898894,10,10,7.310230232
AOI22D2,16,96.09824855,40,20,8.788080036,10,10,7.310168511
AOI13V4,16,96.09831791,40,20,8.788080036,10,10,7.310237879
NAND4BBV4,16,96.3419724,40,20,9.031754163,10,10,7.310218239
NOR4BBV4,16,96.34199095,40,20,9.031754163,10,10,7.310236785
OA33V4,16,97.07729556,40,20,9.767076252,10,10,7.310219309
NR3OPTPAD2,17,86.08264033,36.49122807,18.5,8.781385762,5,10,7.310026498
MUX2OPTD2,17,86.16086879,34.07407407,18.33333333,9.443297786,7,10,7.310163595
MUX2ND2,17,89.98040253,35.71428571,20,7.955948854,9,10,7.310167965
LVLLHD2,18,78.04335313,33.33333333,16.5,8.900056118,2,10,7.309963682
NR3D2,18,83.29312064,34.48275862,18,9.500369959,4,10,7.309992062
XOR2D2,18,88.03575173,34.07407407,17.33333333,9.318181818,10,10,7.310162504
LNQD2,18,89.1031118,37.33333333,16.33333333,8.12628645,10,10,7.31015868
LHQD2,18,91.03572596,37.33333333,18,8.392244875,10,10,7.310147754
OAI21OPTREPBD2,18,91.65773942,38.62068966,20,7.726969717,8,10,7.310080049
XNR2OPTND2,18,91.91898185,38.62068966,17.16666667,8.821488698,10,10,7.310136832
XOR2OPTND2,18,91.91904139,38.62068966,17.16666667,8.821488698,10,10,7.310196369
MUX2NOPTD2,18,92.50752562,37.24137931,20,7.955948854,10,10,7.310197459
AOI21OPTREPBD2,18,92.90759895,38.62068966,20,8.976830904,8,10,7.310078388
MUX2NV4,18,94.11425055,38.62068966,19.83333333,8.350084177,10,10,7.310143388
ADH1V4,18,94.58455386,38.62068966,20,8.653708798,10,10,7.310155403
LAHQV4,18,94.84044041,38.66666667,20,8.863636364,10,10,7.310137379
LALQV4,18,95.2950088,38.66666667,20,9.318181818,10,10,7.310160318
IND4D2,18,95.71536343,40,20,8.405255545,10,10,7.310107883
LALRNQV4,19,91.29694011,37.33333333,19.16666667,8.486891766,9,10,7.310048344
CKXOR2D2,20,73.29133319,28.14814815,13.33333333,8.5,6,10,7.309851704
LHQOPTDAD2,20,88.23662537,36.12903226,17.33333333,9.464285714,8,10,7.309974061
MAOI222D2,20,89.20190528,37.33333333,18,6.558468974,10,10,7.310102969
GXNR2MCOD2,20,94.47190934,38.66666667,19.83333333,8.661854414,10,10,7.310054927
GMUX2NMCOD2,20,94.70399702,38.66666667,20,8.727272727,10,10,7.310057628
AOI221D2,20,94.84039473,38.66666667,20,8.863636364,10,10,7.310091704
GXOR2MCOD2,20,94.87296307,38.66666667,19.83333333,9.06293054,10,10,7.31003253
OAI221D2,20,95.20038337,38.66666667,20,9.223715851,10,10,7.310000852
OAI212V4,20,95.2948586,38.66666667,20,9.318181818,10,10,7.310010113
OAI32V4,20,96.10535766,40,20,8.795263975,10,10,7.310093681
AOI32D2,20,96.16739664,40,20,8.8573909,10,10,7.310005742
OAI32D2,20,96.1674682,40,20,8.8573909,10,10,7.310077295
AOI212V4,20,96.25265814,40,20,8.942618538,10,10,7.310039606
AOI32V4,20,96.25270512,40,20,8.942618538,10,10,7.310086581
